stage,model,method,split,n,faithfulness_score,execution_score,grounding_score,decision_score,render_ok_pct,invalid_json_pct,watchdog,decision
prompt_or_raw_baseline,llama3.2:3b,chart_type_strict,balanced_eval_1000,1000,90.225,96.0,89.300,100.0,80.0,0.0,continue,main_baseline
prompt_plus_deterministic_repair,qwen3:4b,qwen_chart_family_strict_repair,balanced_eval_1000,1000,93.041,94.52,95.804,100.0,78.2,0.0,continue,vietnamese_balanced_chart_family_strict
prompt_plus_deterministic_repair,qwen3:4b,qwen_chart_type_strict_repair,balanced_eval_1000,1000,93.244,90.92,95.516,99.8,73.0,0.2,continue,new_best_comparison_baseline
residual_repair,qwen3:4b,qwen_chart_family_strict_repair_residualfix_v1,balanced_eval_1000,1000,93.699,96.0,96.120,100.0,80.0,0.0,continue,vietnamese_balanced_residualfix_v1
visual_or_audit_fix,qwen3:4b,qwen_chart_family_strict_repair_visualfix_v1,balanced_eval_1000,1000,94.129,96.0,97.840,100.0,80.0,0.0,continue,vietnamese_balanced_visualfix_v1
visual_or_audit_fix,qwen3:4b,qwen_chart_family_strict_repair_visualfix_v1_auditfix_v2,balanced_eval_1000,1000,94.129,96.0,97.840,100.0,80.0,0.0,continue,vietnamese_balanced_auditfix_v2_vlm_disagreements_resolved
prompt_plus_deterministic_repair,qwen3:4b,qwen_chart_family_strict_repair,english_explicit_1000,1000,87.673,95.555,91.631,95.5,89.0,0.3,continue,improved_but_line_query_label_risk_remains
prompt_plus_deterministic_repair,qwen3:4b,qwen_chart_type_strict_repair,english_explicit_1000,1000,83.630,86.125,90.461,93.8,74.5,2.0,continue,english_chart_diversity_failure_do_not_claim_broad_multilingual
decision_repair,qwen3:4b,qwen_chart_family_strict_repair_renderfix_v2_decisionfix_v1,english_explicit_1000_label_audit_v3,1000,93.399,99.7,92.897,99.7,99.7,0.3,continue,posthoc_decisionfix_v1_histogram_count_gate_fix
label_audit,qwen3:4b,qwen_chart_family_strict_repair,english_explicit_1000_label_audit_v3,1000,91.063,95.555,91.631,95.5,89.0,0.3,continue,label_audit_v3_auto_accepts_bar_for_vague_english_line_queries
render_repair,qwen3:4b,qwen_chart_family_strict_repair_renderfix_v2,english_explicit_1000_label_audit_v3,1000,91.719,98.5,91.697,95.5,93.7,0.3,continue,posthoc_renderfix_v2_repair_only_prior_render_failures
residual_repair,qwen3:4b,qwen_chart_family_strict_repair_renderfix_v2_decisionfix_v1_residualfix_v1,english_explicit_1000_label_audit_v3,1000,93.170,98.7,94.600,98.6,97.2,0.2,continue,posthoc_residualfix_v1_invalid_json_and_bad_field
visual_or_audit_fix,qwen3:4b,qwen_chart_family_strict_repair_renderfix_v2_decisionfix_v1_residualfix_v1_visualfix_v1,english_explicit_1000_label_audit_v3,1000,93.870,98.6,96.700,98.5,97.8,0.2,continue,posthoc_visualfix_v1_visual_sanity_repair
visual_or_audit_fix,qwen3:4b,qwen_chart_family_strict_repair_renderfix_v2_decisionfix_v1_residualfix_v1_visualfix_v1_auditfix_v2,english_explicit_1000_label_audit_v3,1000,93.870,98.6,96.700,98.5,97.8,0.2,continue,english_auditfix_v2_vlm_disagreements_resolved
stopped_or_negative,qwen3:14b,qwen_chart_family_strict_repair,heldout_860_v1,860,68.320,62.0,78.4,65.0,40.0,0.0,stop_degenerate,heldout_not_evidence_incomplete_spec
prompt_plus_deterministic_repair,qwen3:4b,qwen_chart_family_strict_repair_auditfix_v2,heldout_860_v1,860,94.880,94.884,98.9,98.7,76.279,0.0,continue,heldout_final_4b_vlm_disagreements_resolved
prompt_plus_deterministic_repair,qwen3:8b,qwen_chart_family_strict_repair_auditfix_v4,heldout_860_v1,860,95.260,95.116,98.7,98.8,76.279,0.0,continue,heldout_final_8b_vietnamese_latest_per_country_fix
visual_or_audit_fix,qwen3:4b,qwen_chart_family_strict_repair_visualfix_v5,matched_bilingual_explicit_1000,1000,94.650,98.9,96.9,98.6,97.4,0.0,continue,matched_500_en_500_vi_posthoc_visualfix_v5
visual_or_audit_fix,qwen3:4b,qwen_chart_family_strict_repair_visualfix_v5_auditfix_v2,matched_bilingual_explicit_1000,1000,94.650,98.9,96.9,98.6,97.4,0.0,continue,matched_500_en_500_vi_auditfix_v2_vlm_disagreement_resolved
stopped_or_negative,granite-code:3b,chart_type_strict,pilot_250,250,79.109,85.44,77.2,79.0,58.0,0.0,caution,below_scaling_threshold
stopped_or_negative,qwen2.5:3b,chart_type_strict,smoke_25,25,74.000,80.0,72.8,72.0,42.0,0.0,stop_degenerate,stop_do_not_scale
stopped_or_negative,qwen3:4b,chart_type_strict,smoke_25,25,62.480,56.0,72.8,62.0,44.0,20.0,stop_redesign_prompt_or_parser,stop_do_not_scale
